"SR.
 NO.",PRODUCT,COMPOSITION,PACKING,MRP,G.S.T,"NET 
 RATE"
1,ATOPIN-5,AMLODIPINE 5MG,10*10 Alu Alu,291.2,12%,52
2,ATOPIN-A,AMLODIPINE 5 MG + ATENOLOL 50 MG,10*10 Alu Alu,700,12%,78
3,ATOPIN-H,AMLODIPINE 5 MG + HYDROCHLOROTHIAZIDE 12.5 MG,10*10 Alu Alu,600,12%,82
4,ATOPIN-L,AMLODIPINE 5 MG+ LISINOPRIL 5 MG,10*15 Alu Alu,1165,12%,95
5,BIOSOD 500,SODIUM BI CARBONATE 500 MG,10*10 Blister,400,12%,65
6,BIOSOD FORTE,SODIUM BI CARBONATE 1000 MG,10*10 Blister,890,12%,90
7,BISONEX-5,BISOPROLOL 5 MG,10*10 Alu Alu,920,12%,88
8,CARNEX-3.125,CARVEDILOL 3.125 MG,10*10 Alu Alu,440,12%,78
9,CLONOMIDE-100,CLONIDINE HCL 100 MCG,10*30 Blister,710,12%,170
10,CLOPIDEX 75,CLOPIDOGREL 75 MG,10*10 Alu Alu,772.5,12%,117
11,CLOPIDEX-A 150,CLOPIDOGREL 75 MG + ASPRIN 150 MG (CAP),10*15 strip,480,12%,180
12,CLOPIDEX-A 75,CLOPIDOGREL 75 MG + ASPRIN 75 MG (CAP),10*15 strip,472.5,12%,170
13,DILEM-120 SR,DILTIAZEM HCL 120 MG SR,10*10 Alu Alu,1190,12%,210
14,DILEM-30,DILTIAZEM 30 MG,10*10 Alu Alu,265,12%,50
15,DILEM-60,DILTIAZEM HCL 60 MG,10*10 Alu Alu,545,12%,138
16,DILEM-90 SR,DILTIAZEM HCL 90 MG SR,10*10 Alu Alu,1140,12%,155
17,ENARIL 5,ENALAPRIL 5 MG,10*15 Alu Alu,399,12%,60
18,ISOMON 20,ISOSORBIDE MONO NITRATE 20 MG,5*4*10 Blister,725,12%,85
19,ISOMON 30,ISOSORBIDE MONO NITRATE 30 MG (ER),5*4*10 Blister,1080,12%,125
20,IVANEX-5,IVABRADINE 5 MG,10*10 Alu Alu,1799,12%,395
21,LOSAGAN-50,LOSARTAN POTASSIUM 50 MG,10*10 Alu Alu,650,12%,115
22,LOSAGAN-A,LOSARTAN POTASSIUM 50 MG + AMLODIPINE 5 MG,10*10 Alu Alu,1200,12%,135
23,LOSAGAN-AH,"LOSARTAN POTASSIUM 50 MG + AMLODIPINE 5 MG +
 HYDROCLOROTHIAZIDE 12.5 MG",10*15 Alu Alu,1075,12%,160
24,LOSAGAN-H,"LOSARTAN POTASSIUM 50 MG +
 HYDROCLOROTHIAZIDE 12.5 MG",10*10 Alu Alu,990,12%,130
25,METONEX-25,METOPROLOL 25 MG,10*10 Alu Alu,450,12%,78
26,METONEX-50,METOPROLOL 50 MG,10*10 Alu Alu,645,12%,88
27,METONEX-A,METOPROLOL 50 MG + AMLODIPINE 5 MG,10*10 Alu Alu,1100,12%,95
28,METONEX-CH 25,METOPROLOL 25 MG + CHLORTHALIDONE 6.25 MG,10*10 Alu Alu,490,12%,100
29,METONEX-CH 50,METOPROLOL 50 MG + CHLORTHALIDONE 6.25 MG,10*10 Alu Alu,650,12%,134
30,METONEX-T,METOPROLOL 50 MG + TELMISARTAN 40 MG,10*10 Alu Alu,1050,12%,155
31,METONEX-T25,METOPROLOL 25 MG + TELMISARTAN 40 MG,10*10 Alu Alu,950,12%,134
32,MOXONEX 0.2,MOXONIDINE 0.2 MG,10*10 Alu Alu,800,12%,96
33,MOXONEX 0.3,MOXONIDINE 0.3 MG,10*10 Alu Alu,"990.00 &
 1440.00",12%,115
